delta,count
0,8
1,40
2,58
3,65
4,55
5,39
6,65
7,65
8,109
9,580
10,3500
11,584
12,120
13,107
14,129
15,119
16,120
17,173
18,371
19,15058
20,1917658
21,209266
22,1479
23,1414
24,205
25,136
26,142
27,107
28,178
29,959
30,41359
31,1774
32,176
33,100
34,70
35,56
36,48
37,51
38,57
39,198
40,16916
41,3678
42,48
43,39
44,28
45,74
46,14
47,14
48,15
49,9
50,10
51,14
52,7
53,19
54,8
55,5
56,4
57,10
58,13
59,49
60,4392
61,3216
62,94
63,3
64,6
65,3
66,2
67,7
68,13
69,5
70,5
71,2
72,2
73,4
74,4
75,8
76,9
77,4
78,3
79,16
80,2691
81,1599
82,431
83,4
84,2
85,5
86,6
87,4
88,3
89,5
90,35
91,6
92,2
95,1
96,3
97,6
98,2
99,7
100,1317
101,475
102,241
103,3
104,1
105,2
106,4
107,2
108,1
109,2
110,3
111,2
112,2
113,4
114,2
115,3
116,3
118,7
119,10
120,1603
121,338
122,295
123,14
124,4
125,4
126,4
127,3
130,1
134,1
135,2
139,9
140,1614
141,261
142,302
143,48
144,3
145,2
146,2
147,1
148,3
150,20
151,4
152,2
153,2
156,2
157,1
158,1
159,5
160,808
161,134
162,164
163,57
164,3
165,2
167,2
168,2
170,2
171,1
173,1
174,3
176,1
177,1
179,2
180,488
181,73
182,93
183,70
184,4
186,3
187,1
189,1
190,3
196,1
197,1
198,1
199,1
200,264
201,29
202,36
203,53
204,7
205,1
206,1
210,24
211,5
212,4
214,1
217,2
219,5
220,175
221,26
222,20
223,61
224,14
228,1
229,3
230,3
231,1
234,1
236,1
237,1
238,1
239,3
240,124
241,17
242,10
243,35
244,19
245,1
246,3
247,1
248,1
249,2
250,3
251,1
252,3
254,1
255,1
258,1
259,3
260,89
261,18
262,4
263,16
264,29
265,1
268,1
269,1
270,11
271,1
272,2
274,1
276,2
277,1
279,1
280,75
281,11
282,1
283,9
284,23
285,7
289,1
292,1
295,1
298,2
299,2
300,87
301,12
303,4
304,15
305,12
306,1
310,1
312,1
320,113
321,34
322,2
323,1
324,14
325,9
326,1
327,2
330,11
331,3
338,1
340,140
341,33
342,1
343,1
344,8
345,14
346,1
350,1
351,1
355,1
358,1
360,43
361,8
363,1
364,3
365,13
366,7
368,1
370,1
376,1
379,1
380,27
381,12
382,1
383,1
384,3
385,3
386,8
389,1
390,5
392,1
398,1
399,1
400,27
401,7
402,1
404,4
405,9
406,3
407,5
410,1
412,2
417,1
419,1
420,34
421,6
424,1
425,2
426,12
427,4
429,1
434,1
439,1
440,28
441,8
443,1
445,1
446,8
447,11
448,3
449,1
450,6
451,3
460,18
461,8
462,2
463,1
464,1
465,3
466,13
467,6
470,1
473,1
480,13
481,8
485,1
486,3
487,6
488,2
490,2
491,1
494,1
499,1
500,6
501,5
506,2
507,9
508,4
509,1
510,2
513,1
517,1
519,1
520,7
521,3
523,2
526,1
527,2
528,4
529,3
539,1
540,16
541,7
545,1
546,3
547,5
548,3
549,3
556,1
559,1
560,13
561,7
563,2
567,2
568,3
569,7
570,1
571,1
575,1
578,1
579,1
580,13
581,6
587,4
588,5
589,5
590,1
591,1
595,1
599,1
600,19
601,6
604,1
607,3
608,5
610,2
617,1
619,2
620,10
621,8
623,1
627,1
628,4
629,2
630,4
635,1
636,1
640,13
641,2
642,1
644,2
648,1
649,5
650,3
651,1
652,1
658,1
659,2
660,6
661,8
663,1
664,1
669,4
670,4
671,1
672,1
675,2
679,1
680,8
681,6
684,1
685,1
690,2
691,4
700,10
701,2
703,1
709,1
710,1
711,1
714,1
719,2
720,9
726,1
729,1
730,2
731,3
732,3
740,16
741,9
743,1
745,1
749,1
750,1
752,3
759,1
760,4
761,2
765,1
766,1
767,1
769,1
770,2
771,1
772,3
773,1
780,6
781,3
786,1
791,3
792,3
800,5
801,1
805,1
811,1
820,2
821,2
826,1
831,1
832,1
833,2
834,1
840,4
841,3
852,1
853,1
854,2
861,2
870,1
874,1
875,1
877,1
