day,count,mean,std,min,25%,50%,75%,90%,99%,max
2017-04-05,13372,-21.4293299432,325.191571944,-3596.0,6.0,7.0,8.0,9.0,25.0,648.0
2017-04-06,124062,-33.7888313908,386.593053046,-3597.0,5.0,7.0,8.0,9.0,37.0,659.0
2017-04-07,68460,-47.2604732691,436.988739917,-3597.0,5.0,6.0,7.0,8.0,24.0,658.0
2017-04-18,221261,10.8556184777,30.269223715,-1.0,6.0,7.0,9.0,15.0,53.0,666.0
2017-04-19,733841,10.0756880578,28.6746313027,-2.0,5.0,6.0,8.0,14.0,56.0,735.0
2017-04-20,730890,9.82813829714,26.5449897312,-2.0,5.0,6.0,8.0,12.0,45.0,682.0
2017-04-21,736329,10.2163190639,28.3482379076,-2.0,5.0,7.0,8.0,13.0,53.71999999997206,672.0
2017-04-22,627618,11.6234588555,28.0226348445,-3.0,5.0,7.0,9.0,21.0,70.0,687.0
2017-04-23,184299,8.71705218151,24.6836066605,-4.0,5.0,6.0,7.0,9.0,36.0,659.0
2017-04-24,740361,10.4057020832,27.6487982905,-2.0,5.0,6.0,8.0,14.0,48.0,725.0
2017-04-25,735566,8.95361259221,27.374966258,-3.0,5.0,6.0,8.0,9.0,45.0,707.0
2017-04-26,728007,9.10610749622,28.0890702254,-2.0,5.0,6.0,8.0,10.0,51.0,673.0
2017-04-27,737352,8.90237634129,26.8365631618,-2.0,5.0,6.0,8.0,10.0,42.0,686.0
2017-04-28,738791,9.60408424033,28.2572723694,-4.0,5.0,6.0,8.0,13.0,51.0,679.0
2017-04-29,636102,10.2226781239,28.3550509525,-2.0,5.0,7.0,9.0,14.0,55.0,680.0
2017-04-30,173981,8.37731706336,21.8302550052,-1.0,5.0,6.0,7.0,11.0,40.0,668.0
2017-05-01,170363,8.75452416311,22.7840773693,1.0,5.0,6.0,7.0,12.0,44.0,660.0
2017-05-02,704304,10.8825549763,30.7041737283,-2.0,5.0,7.0,8.0,18.0,71.0,696.0
2017-05-03,720555,9.41753648229,30.1869897909,-4.0,5.0,6.0,8.0,10.0,63.0,722.0
2017-05-04,721287,9.17903552955,29.4436931258,-2.0,5.0,6.0,8.0,10.0,61.0,695.0
2017-05-05,729484,9.78966228183,29.7725408832,-3.0,5.0,6.0,8.0,12.0,65.0,721.0
2017-05-06,631427,10.445433914,27.3404220653,-2.0,5.0,7.0,8.0,17.0,59.0,675.0
2017-05-07,170888,8.53664388371,26.1027790481,0.0,5.0,6.0,7.0,9.0,34.0,655.0
2017-05-08,715024,10.1941207568,29.1069598986,-4.0,5.0,7.0,8.0,15.0,65.0,680.0
2017-05-09,716253,9.09603729408,28.3877258622,-2.0,5.0,6.0,8.0,9.0,54.0,742.0
2017-05-10,729959,9.44116313382,35.7421249833,-2.0,5.0,6.0,8.0,10.0,57.0,3931.0
2017-05-11,726727,9.58428818525,29.8323129568,-2.0,5.0,6.0,8.0,11.0,63.0,998.0
2017-05-12,731930,9.3756055907,28.5103625187,-2.0,5.0,6.0,8.0,12.0,58.0,662.0
2017-05-13,639650,9.68549519268,28.1141137463,-2.0,5.0,6.0,8.0,13.0,57.0,685.0
2017-05-14,175544,8.97810805268,26.9468193402,1.0,5.0,6.0,8.0,9.0,48.0,678.0
2017-05-15,709499,9.97103589998,28.0347056302,-2.0,5.0,6.0,8.0,16.0,60.0,714.0
